
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 10-Feb-2026 at 09:55:27.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.4700   1.3302338E+07   1.3325545E+07   1.3931322E+07   1.3942111E+07   1.3528693E+07   1.3494698E+07   1.3331632E+07   1.3354670E+07   1.3980310E+07   1.3992381E+07   1.3581974E+07   1.3546864E+07
    0.4800   1.3297427E+07   1.3320872E+07   1.3929297E+07   1.3939996E+07   1.3522333E+07   1.3488189E+07   1.3325113E+07   1.3347535E+07   1.3972752E+07   1.3985416E+07   1.3585994E+07   1.3550908E+07
    0.4900   1.3292965E+07   1.3316623E+07   1.3926680E+07   1.3937257E+07   1.3515796E+07   1.3481560E+07   1.3318972E+07   1.3340846E+07   1.3965249E+07   1.3978416E+07   1.3588774E+07   1.3553734E+07
    0.5000   1.3288747E+07   1.3312598E+07   1.3923579E+07   1.3934016E+07   1.3509114E+07   1.3474827E+07   1.3313358E+07   1.3334779E+07   1.3957964E+07   1.3971514E+07   1.3589919E+07   1.3554948E+07
    0.5100   1.3284570E+07   1.3308600E+07   1.3920105E+07   1.3930393E+07   1.3502317E+07   1.3468000E+07   1.3308398E+07   1.3329489E+07   1.3951026E+07   1.3964813E+07   1.3589106E+07   1.3554227E+07
    0.5200   1.3280256E+07   1.3304454E+07   1.3916359E+07   1.3926501E+07   1.3495427E+07   1.3461087E+07   1.3304180E+07   1.3325080E+07   1.3944535E+07   1.3958397E+07   1.3586103E+07   1.3551341E+07
    0.5300   1.3275667E+07   1.3300027E+07   1.3912422E+07   1.3922429E+07   1.3488455E+07   1.3454088E+07   1.3300731E+07   1.3321590E+07   1.3938570E+07   1.3952335E+07   1.3580776E+07   1.3546153E+07
    0.5400   1.3270723E+07   1.3295244E+07   1.3908351E+07   1.3918237E+07   1.3481404E+07   1.3446996E+07   1.3298008E+07   1.3318980E+07   1.3933188E+07   1.3946683E+07   1.3573098E+07   1.3538631E+07
    0.5500   1.3265408E+07   1.3290090E+07   1.3904174E+07   1.3913955E+07   1.3474256E+07   1.3439794E+07   1.3295896E+07   1.3317136E+07   1.3928425E+07   1.3941489E+07   1.3563144E+07   1.3528840E+07
    0.5600   1.3259763E+07   1.3284607E+07   1.3899895E+07   1.3909580E+07   1.3466987E+07   1.3432457E+07   1.3294219E+07   1.3315871E+07   1.3924296E+07   1.3936787E+07   1.3551087E+07   1.3516944E+07
